,institutions_sell_code,institutions_sell,institutions_sell_eng,volume_sell,institutions_buy_code,institutions_buy,institutions_buy_eng,volume_buy,JPX_code,instrument,date
2,12800,モルガンスタンレー,Morgan Stanley MUFG,62833,12800,モルガンスタンレー,Morgan Stanley MUFG,53922,165090005,FUT_TOPIX_2009,2020-09-08
3,11560,ゴールドマンサックス,Goldman Sachs Japan,54806,12400,野村證券,Nomura Securities,53544,165090005,FUT_TOPIX_2009,2020-09-08
4,12400,野村證券,Nomura Securities,37764,11560,ゴールドマンサックス,Goldman Sachs Japan,51339,165090005,FUT_TOPIX_2009,2020-09-08
5,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,22213,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,24676,165090005,FUT_TOPIX_2009,2020-09-08
6,11696,みずほ証券,Mizuho Securities,19166,11788,ソシエテ・ジェネラル,Societe Generale,15947,165090005,FUT_TOPIX_2009,2020-09-08
7,11788,ソシエテ・ジェネラル,Societe Generale,17280,12792,メリルリンチ日本証券,Merrill Lynch Japan,8768,165090005,FUT_TOPIX_2009,2020-09-08
8,12792,メリルリンチ日本証券,Merrill Lynch Japan,8868,12410,バークレイズ証券,Barclays Japan,8050,165090005,FUT_TOPIX_2009,2020-09-08
9,12410,バークレイズ証券,Barclays Japan,5679,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,7579,165090005,FUT_TOPIX_2009,2020-09-08
10,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),5287,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),5287,165090005,FUT_TOPIX_2009,2020-09-08
11,11714,ＪＰモルガン証券,JPMorgan Japan,4966,11714,ＪＰモルガン証券,JPMorgan Japan,4997,165090005,FUT_TOPIX_2009,2020-09-08
12,11792,シティグループ証券,Citigroup Japan,3074,11696,みずほ証券,Mizuho Securities,4111,165090005,FUT_TOPIX_2009,2020-09-08
13,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,3046,11792,シティグループ証券,Citigroup Japan,4107,165090005,FUT_TOPIX_2009,2020-09-08
14,12000,大和証券,Daiwa Securities,2250,11635,クレディ・スイス証券,Credit Suisse Japan,4065,165090005,FUT_TOPIX_2009,2020-09-08
15,11635,クレディ・スイス証券,Credit Suisse Japan,1955,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,2750,165090005,FUT_TOPIX_2009,2020-09-08
16,11746,ＵＢＳ証券,UBS Securities Japan,1225,12000,大和証券,Daiwa Securities,760,165090005,FUT_TOPIX_2009,2020-09-08
17,12176,ドイツ証券,Deutsche Securities,469,11746,ＵＢＳ証券,UBS Securities Japan,690,165090005,FUT_TOPIX_2009,2020-09-08
18,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,333,12176,ドイツ証券,Deutsche Securities,469,165090005,FUT_TOPIX_2009,2020-09-08
19,11256,ＳＢＩ証券,SBI SECURITIES,5,12072,東海東京証券,Tokai Tokyo Sec,154,165090005,FUT_TOPIX_2009,2020-09-08
20,12072,東海東京証券,Tokai Tokyo Sec,1,11256,ＳＢＩ証券,SBI SECURITIES,5,165090005,FUT_TOPIX_2009,2020-09-08
23,12400,野村證券,Nomura Securities,54851,12800,モルガンスタンレー,Morgan Stanley MUFG,58952,165120005,FUT_TOPIX_2012,2020-09-08
24,12800,モルガンスタンレー,Morgan Stanley MUFG,53241,11560,ゴールドマンサックス,Goldman Sachs Japan,54677,165120005,FUT_TOPIX_2012,2020-09-08
25,11560,ゴールドマンサックス,Goldman Sachs Japan,51078,12400,野村證券,Nomura Securities,37768,165120005,FUT_TOPIX_2012,2020-09-08
26,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,23268,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,24610,165120005,FUT_TOPIX_2012,2020-09-08
27,11788,ソシエテ・ジェネラル,Societe Generale,15947,11788,ソシエテ・ジェネラル,Societe Generale,17147,165120005,FUT_TOPIX_2012,2020-09-08
28,12792,メリルリンチ日本証券,Merrill Lynch Japan,8568,11696,みずほ証券,Mizuho Securities,16577,165120005,FUT_TOPIX_2012,2020-09-08
29,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,7502,12792,メリルリンチ日本証券,Merrill Lynch Japan,8568,165120005,FUT_TOPIX_2012,2020-09-08
30,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),5287,12410,バークレイズ証券,Barclays Japan,5679,165120005,FUT_TOPIX_2012,2020-09-08
