,institutions_sell_code,institutions_sell,institutions_sell_eng,volume_sell,institutions_buy_code,institutions_buy,institutions_buy_eng,volume_buy,JPX_code,instrument,date
2,11560,ゴールドマンサックス,Goldman Sachs Japan,5785,11560.0,ゴールドマンサックス,Goldman Sachs Japan,5785.0,165090005,FUT_TOPIX_2009,2020-09-08
3,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),410,12428.0,ＢＮＰパリバ証券,BNP Paribas (Japan),410.0,165090005,FUT_TOPIX_2009,2020-09-08
4,11256,ＳＢＩ証券,SBI SECURITIES,3,11256.0,ＳＢＩ証券,SBI SECURITIES,3.0,165090005,FUT_TOPIX_2009,2020-09-08
7,11560,ゴールドマンサックス,Goldman Sachs Japan,5785,11560.0,ゴールドマンサックス,Goldman Sachs Japan,5785.0,165120005,FUT_TOPIX_2012,2020-09-08
8,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),410,12428.0,ＢＮＰパリバ証券,BNP Paribas (Japan),410.0,165120005,FUT_TOPIX_2012,2020-09-08
9,11256,ＳＢＩ証券,SBI SECURITIES,30,11256.0,ＳＢＩ証券,SBI SECURITIES,30.0,165120005,FUT_TOPIX_2012,2020-09-08
12,11256,ＳＢＩ証券,SBI SECURITIES,355,11256.0,ＳＢＩ証券,SBI SECURITIES,355.0,165090018,FUT_NK225_2009,2020-09-08
13,11788,ソシエテ・ジェネラル,Societe Generale,300,11788.0,ソシエテ・ジェネラル,Societe Generale,326.0,165090018,FUT_NK225_2009,2020-09-08
14,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),128,12428.0,ＢＮＰパリバ証券,BNP Paribas (Japan),128.0,165090018,FUT_NK225_2009,2020-09-08
15,11696,みずほ証券,Mizuho Securities,78,12479.0,ＡＢＮアムロクリア,ABN AMRO Clearing,62.0,165090018,FUT_NK225_2009,2020-09-08
16,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,54,11792.0,シティグループ証券,Citigroup Japan,28.0,165090018,FUT_NK225_2009,2020-09-08
17,12410,バークレイズ証券,Barclays Japan,4,11746.0,ＵＢＳ証券,UBS Securities Japan,16.0,165090018,FUT_NK225_2009,2020-09-08
18,11792,シティグループ証券,Citigroup Japan,2,12410.0,バークレイズ証券,Barclays Japan,6.0,165090018,FUT_NK225_2009,2020-09-08
21,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),128,12428.0,ＢＮＰパリバ証券,BNP Paribas (Japan),128.0,165120018,FUT_NK225_2012,2020-09-08
22,11256,ＳＢＩ証券,SBI SECURITIES,56,11256.0,ＳＢＩ証券,SBI SECURITIES,56.0,165120018,FUT_NK225_2012,2020-09-08
23,12400,野村證券,Nomura Securities,8,12400.0,野村證券,Nomura Securities,8.0,165120018,FUT_NK225_2012,2020-09-08
26,11256,ＳＢＩ証券,SBI SECURITIES,10325,11256.0,ＳＢＩ証券,SBI SECURITIES,10325.0,165090019,FUT_NK225M_2009,2020-09-08
27,12800,モルガンスタンレー,Morgan Stanley MUFG,31,12800.0,モルガンスタンレー,Morgan Stanley MUFG,31.0,165090019,FUT_NK225M_2009,2020-09-08
30,11256,ＳＢＩ証券,SBI SECURITIES,253,11256.0,ＳＢＩ証券,SBI SECURITIES,253.0,165100019,FUT_NK225M_2010,2020-09-08
33,11256,ＳＢＩ証券,SBI SECURITIES,33,11256.0,ＳＢＩ証券,SBI SECURITIES,33.0,165110019,FUT_NK225M_2011,2020-09-08
36,11256,ＳＢＩ証券,SBI SECURITIES,33,11256.0,ＳＢＩ証券,SBI SECURITIES,33.0,135092218,PUT_NK225_200911_22250,2020-09-08
39,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,200,12479.0,ＡＢＮアムロクリア,ABN AMRO Clearing,200.0,135092318,PUT_NK225_200911_22375,2020-09-08
40,11256,ＳＢＩ証券,SBI SECURITIES,7,11256.0,ＳＢＩ証券,SBI SECURITIES,7.0,135092318,PUT_NK225_200911_22375,2020-09-08
43,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,300,12410.0,バークレイズ証券,Barclays Japan,100.0,135092518,PUT_NK225_200911_22500,2020-09-08
44,11256,ＳＢＩ証券,SBI SECURITIES,96,12479.0,ＡＢＮアムロクリア,ABN AMRO Clearing,100.0,135092518,PUT_NK225_200911_22500,2020-09-08
45,-,-,-,-,11746.0,ＵＢＳ証券,UBS Securities Japan,100.0,135092518,PUT_NK225_200911_22500,2020-09-08
46,-,-,-,-,11256.0,ＳＢＩ証券,SBI SECURITIES,96.0,135092518,PUT_NK225_200911_22500,2020-09-08
49,11256,ＳＢＩ証券,SBI SECURITIES,2,11256.0,ＳＢＩ証券,SBI SECURITIES,2.0,135092618,PUT_NK225_200911_22625,2020-09-08
