,institutions_sell_code,institutions_sell,institutions_sell_eng,volume_sell,institutions_buy_code,institutions_buy,institutions_buy_eng,volume_buy,JPX_code,instrument,date
2,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,10283,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,10064,165120005,FUT_TOPIX_2012,2020-09-24
3,11788,ソシエテ・ジェネラル,Societe Generale,4726,11788,ソシエテ・ジェネラル,Societe Generale,4460,165120005,FUT_TOPIX_2012,2020-09-24
4,11714,ＪＰモルガン証券,JPMorgan Japan,1546,12792,メリルリンチ日本証券,Merrill Lynch Japan,2286,165120005,FUT_TOPIX_2012,2020-09-24
5,12792,メリルリンチ日本証券,Merrill Lynch Japan,672,11714,ＪＰモルガン証券,JPMorgan Japan,1069,165120005,FUT_TOPIX_2012,2020-09-24
6,12800,モルガンスタンレー,Morgan Stanley MUFG,572,12410,バークレイズ証券,Barclays Japan,565,165120005,FUT_TOPIX_2012,2020-09-24
7,11560,ゴールドマンサックス,Goldman Sachs Japan,462,11635,クレディ・スイス証券,Credit Suisse Japan,325,165120005,FUT_TOPIX_2012,2020-09-24
8,11792,シティグループ証券,Citigroup Japan,386,11792,シティグループ証券,Citigroup Japan,204,165120005,FUT_TOPIX_2012,2020-09-24
9,12410,バークレイズ証券,Barclays Japan,372,12800,モルガンスタンレー,Morgan Stanley MUFG,176,165120005,FUT_TOPIX_2012,2020-09-24
10,11746,ＵＢＳ証券,UBS Securities Japan,182,12795,インタラクティブ証券,Interactive Brokers,165,165120005,FUT_TOPIX_2012,2020-09-24
11,11635,クレディ・スイス証券,Credit Suisse Japan,174,11560,ゴールドマンサックス,Goldman Sachs Japan,159,165120005,FUT_TOPIX_2012,2020-09-24
12,12724,ＨＳＢＣ証券,HSBC (Japan),159,11746,ＵＢＳ証券,UBS Securities Japan,134,165120005,FUT_TOPIX_2012,2020-09-24
13,12336,日産証券,Nissan Securities,151,12336,日産証券,Nissan Securities,101,165120005,FUT_TOPIX_2012,2020-09-24
14,12400,野村證券,Nomura Securities,66,12400,野村證券,Nomura Securities,63,165120005,FUT_TOPIX_2012,2020-09-24
15,11272,岡三証券,OKASAN SECURITIES,40,12888,山和証券,YAMAWA SECURITIES,45,165120005,FUT_TOPIX_2012,2020-09-24
16,11256,ＳＢＩ証券,SBI SECURITIES,34,11060,ａｕカブコム証券,au Kabucom Securitie,41,165120005,FUT_TOPIX_2012,2020-09-24
17,12888,山和証券,YAMAWA SECURITIES,32,12724,ＨＳＢＣ証券,HSBC (Japan),34,165120005,FUT_TOPIX_2012,2020-09-24
18,12176,ドイツ証券,Deutsche Securities,32,11256,ＳＢＩ証券,SBI SECURITIES,30,165120005,FUT_TOPIX_2012,2020-09-24
19,11060,ａｕカブコム証券,au Kabucom Securitie,29,11272,岡三証券,OKASAN SECURITIES,23,165120005,FUT_TOPIX_2012,2020-09-24
20,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,20,12000,大和証券,Daiwa Securities,20,165120005,FUT_TOPIX_2012,2020-09-24
21,11056,安藤証券,ANDO SECURITIES,18,11512,光世証券,The Kosei Securities,16,165120005,FUT_TOPIX_2012,2020-09-24
24,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,10390,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,10871,165120018,FUT_NK225_2012,2020-09-24
25,11788,ソシエテ・ジェネラル,Societe Generale,6475,11788,ソシエテ・ジェネラル,Societe Generale,6262,165120018,FUT_NK225_2012,2020-09-24
26,12800,モルガンスタンレー,Morgan Stanley MUFG,1073,11256,ＳＢＩ証券,SBI SECURITIES,891,165120018,FUT_NK225_2012,2020-09-24
27,11256,ＳＢＩ証券,SBI SECURITIES,640,12057,楽天証券,Rakuten Securities,771,165120018,FUT_NK225_2012,2020-09-24
28,12057,楽天証券,Rakuten Securities,623,12792,メリルリンチ日本証券,Merrill Lynch Japan,469,165120018,FUT_NK225_2012,2020-09-24
29,12792,メリルリンチ日本証券,Merrill Lynch Japan,473,12560,松井証券,MATSUI SECURITIES,426,165120018,FUT_NK225_2012,2020-09-24
30,11714,ＪＰモルガン証券,JPMorgan Japan,378,12336,日産証券,Nissan Securities,417,165120018,FUT_NK225_2012,2020-09-24
